Período;Região ;Entidade ;Localização Geográfica;Grupo Sanguíneo;Reservas
2017-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;O-;21.6333333333
2017-06;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;AB+;9.03333333333
2017-06;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;A-;28.2
2017-06;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;A-;14.4666666667
2017-06;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;A+;40.6333333333
2017-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;Total;82.7333333333
2017-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;A-;7.16666666667
2017-06;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;A+;29.8333333333
2017-06;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;A-;29.7
2017-06;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;AB+;15.3333333333
2017-06;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;O+;
2017-06;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;A-;17.6666666667
2017-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;B-;2.0
2017-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;AB+;2.73333333333
2017-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;B-;
2017-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;AB+;
2017-06;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;B-;0.766666666667
2017-06;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;B-;
2017-06;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;B+;
2017-06;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;AB-;
2017-06;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;A-;7.9
2017-06;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;B+;
2017-06;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;AB-;
2017-06;Região de Saúde do Centro;Hospital Dr Francisco Zagalo;40.8571967,-8.6318023;O-;
2017-06;Região de Saúde do Centro;Hospital Dr Francisco Zagalo;40.8571967,-8.6318023;O+;
2017-06;Região de Saúde do Centro;Hospital Dr Francisco Zagalo;40.8571967,-8.6318023;A-;
2017-06;Região de Saúde do Centro;Hospital Dr Francisco Zagalo;40.8571967,-8.6318023;A+;
2017-06;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;AB+;33.6333333333
2017-06;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;O-;11.6
2017-06;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;B-;0.433333333333
2017-06;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;O-;1.96666666667
2017-06;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;O+;5.76666666667
2017-06;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;AB+;
2017-06;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;O-;9.73333333333
2017-06;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;B-;1.8
2017-06;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;B+;2.7
2017-06;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;B+;14.8333333333
2017-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;Total;109.533333333
2017-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;A+;39.8333333333
2017-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;B+;
2017-06;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;B-;1.3
2017-06;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;Total;
2017-06;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;O-;
2017-06;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;AB+;
2017-06;Região de Saúde LVT;Hospital de Loures, PPP;38.821342,-9.176377;O-;
2017-06;Região de Saúde LVT;Hospital de Loures, PPP;38.821342,-9.176377;A+;
2017-06;Região de Saúde LVT;Hospital de Loures, PPP;38.821342,-9.176377;B-;
2017-06;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;B-;
2017-06;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.399268;O+;
2017-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;AB+;0.0967741935484
2017-07;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;A-;8.48387096774
2017-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;O+;22.0322580645
2017-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;B+;3.06451612903
2017-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;AB-;0.161290322581
2017-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;A-;
2017-07;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;O+;43.9032258065
2017-07;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;AB-;0.838709677419
2017-07;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;B+;32.3225806452
2017-07;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;AB-;3.77419354839
2017-07;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;O+;20.3225806452
2017-07;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;AB-;0.645161290323
2017-07;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;O-;16.4838709677
2017-07;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;A+;100.709677419
2017-07;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;A-;21.064516129
2017-07;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;A+;90.4193548387
2017-07;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;B-;1.54838709677
2017-07;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;B+;6.38709677419
2017-07;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;A-;9.09677419355
2017-07;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;B-;0.612903225806
2017-07;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;AB-;0.129032258065
2017-07;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;O-;16.9032258065
2017-07;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;A+;40.6451612903
2017-07;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;AB+;10.9677419355
2017-07;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;A+;57.6774193548
2017-07;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;B-;4.87096774194
2017-07;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;Total;119.870967742
2017-07;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;O-;15.0
2017-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;A+;7.1935483871
2017-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;B-;0.0967741935484
2017-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;AB-;0.41935483871
2017-07;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;O-;48.0
2017-07;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;AB-;
2017-07;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;AB+;
2017-07;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;Total;163.548387097
2017-07;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;AB+;4.41935483871
2017-07;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;Total;107.903225806
2017-07;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;AB-;1.41935483871
2017-07;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;O-;0.0
2017-07;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;B-;0.0
2017-07;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;A-;4.51612903226
2017-07;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;B+;0.677419354839
2017-07;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;B+;
2017-07;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;AB-;
2017-07;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;O-;9.09677419355
2017-07;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;B-;
2017-07;Região de Saúde do Centro;Hospital Dr Francisco Zagalo;40.8571967,-8.6318023;AB-;
2017-07;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;O+;441.967741935
2017-07;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;O+;84.2258064516
2017-07;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;A-;16.8709677419
2017-07;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;A+;14.3225806452
2017-07;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;O-;
2017-07;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;O+;
2017-07;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;A-;
2017-07;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;A+;
2017-07;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;B+;
2017-07;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;AB-;
2017-07;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;B-;
2017-07;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;O-;16.8709677419
2017-07;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;O+;37.2903225806
2017-07;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;AB-;0.516129032258
2017-07;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;Total;63.6774193548
2017-07;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;O+;18.2258064516
2017-07;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;AB+;3.74193548387
2017-07;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;AB-;
2017-07;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;B+;6.51612903226
2017-07;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;A-;12.2580645161
2017-07;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;Total;
2017-07;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;O-;
2017-07;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;A-;
2017-07;Região de Saúde LVT;Hospital de Loures, PPP;38.821342,-9.176377;A+;
2017-07;Região de Saúde LVT;Hospital de Loures, PPP;38.821342,-9.176377;AB+;
2017-07;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;A-;
2017-07;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;B-;
2017-07;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;B+;
2017-07;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;AB+;
2017-07;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.399268;Total;
2017-07;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.399268;A+;
2017-07;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.399268;AB+;
2017-08;Entidade Central (IPST, IP);Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758,-9.1505021;A+;2332.32258065
2017-08;Entidade Central (IPST, IP);Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758,-9.1505021;AB+;286.258064516
2017-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;A-;1.70967741935
2017-08;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;O+;32.8387096774
2017-08;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;A-;5.77419354839
2017-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;Total;53.0
2017-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;A-;4.96774193548
2017-08;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;B+;2.8064516129
2017-08;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;A+;90.8064516129
2017-08;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;O-;13.2580645161
2017-08;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;O-;35.8064516129
2017-08;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;A-;28.9677419355
2017-08;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;A+;144.677419355
2017-08;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;AB-;3.45161290323
2017-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;O+;94.4516129032
2017-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;A-;19.6774193548
2017-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;A+;87.6129032258
2017-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;B-;3.67741935484
2017-08;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;AB-;0.935483870968
2017-08;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;O+;172.129032258
2017-08;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;A+;168.322580645
2017-08;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;B-;5.61290322581
2017-08;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;B+;20.1290322581
2017-08;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;AB+;3.58064516129
2017-08;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;A+;76.5161290323
2017-08;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;B+;13.7741935484
2017-08;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;O+;35.2258064516
2017-08;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;A-;6.77419354839
2017-08;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;A+;41.1935483871
2017-08;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;O-;11.4193548387
2017-08;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;A+;38.7419354839
2017-08;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;AB-;1.64516129032
2017-08;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;AB+;3.22580645161
2017-08;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;O+;52.2258064516
2017-08;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;B-;0.741935483871
2017-08;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;B+;8.58064516129
2017-08;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;O-;14.5483870968
2017-08;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;Total;
2017-08;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;Total;218.290322581
2017-08;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;A-;22.1612903226
2017-08;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;AB-;3.38709677419
2017-08;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;O-;13.3548387097
2017-08;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;Total;51.3225806452
2017-08;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;Total;35.2580645161
2017-08;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;B-;0.677419354839
2017-08;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;AB-;1.70967741935
2017-08;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;O-;0.806451612903
2017-08;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;B-;0.0645161290323
2017-08;Região de Saúde do Centro;Hospital Dr Francisco Zagalo;40.8571967,-8.6318023;O-;
2017-08;Região de Saúde do Centro;Hospital Dr Francisco Zagalo;40.8571967,-8.6318023;A+;
2017-08;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;A-;98.9032258065
2017-08;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;B+;54.3870967742
2017-08;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;A-;8.16129032258
2017-08;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;AB+;1.1935483871
2017-08;Região de Saúde Norte;Centro Hospitalar entre Douro e Vouga, EPE;40.9293884,-8.5458794;AB-;5.25806451613
2017-08;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;O+;5.32258064516
2017-08;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;A-;
2017-08;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;AB+;
2017-08;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;O-;9.70967741935
2017-08;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;O+;
2017-08;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;A-;5.09677419355
2017-08;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;B-;2.35483870968
2017-08;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;A-;15.935483871
2017-08;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;A+;39.935483871
2017-08;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;B+;
2017-08;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;AB+;
2017-08;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;Total;118.290322581
2017-08;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;O+;40.935483871
2017-08;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;B+;5.45161290323
2017-08;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;Total;185.161290323
2017-08;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;O-;32.2580645161
2017-08;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;B-;5.16129032258
2017-08;Região de Saúde LVT;Hospital de Loures, PPP;38.821342,-9.176377;B+;
2017-08;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;Total;
2017-08;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;O+;
2017-08;Região de Saúde LVT;Hospital de Cascais, PPP;38.728951,-9.418466;AB-;
2017-08;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.399268;O-;
2017-09;Entidade Central (IPST, IP);Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758,-9.1505021;Total;5371.46666667
2017-09;Entidade Central (IPST, IP);Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758,-9.1505021;AB-;22.7
2017-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;O+;27.7666666667
2017-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;Total;
2017-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;O-;
2017-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;A-;
2017-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;A+;
2017-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;O-;89.0
2017-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;A-;38.6333333333
2017-09;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;A+;89.0666666667
2017-09;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;O+;44.0333333333
2017-09;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;B-;9.8
2017-09;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;B-;4.56666666667
2017-09;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;B+;11.5666666667
2017-09;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;AB-;1.36666666667
2017-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;O-;48.1666666667
2017-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;O+;177.433333333
2017-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;A+;169.766666667
2017-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;A+;93.0
2017-09;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;B-;1.36666666667
2017-09;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;A+;
2017-09;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;A-;10.7333333333
2017-09;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;AB+;7.06666666667
2017-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;Total;155.2
2017-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;O+;54.5666666667
2017-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;B+;9.46666666667
2017-09;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;A+;59.8333333333
2017-09;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;B+;8.1
2017-09;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;Total;119.4
2017-09;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;O-;14.9333333333
